"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"termob",-0.688001289901223,-0.0577083857885447,0.028460325561994,-0.0198341428023633,-0.0827972629385549,0.131858512291498,0.41779477372234
"tet2pa",-1.12892827669308,-0.0222600859499881,0.0620816645506612,-0.0198341428023633,-0.0827972629385549,0.294598579819831,0.21436167382301
"theoca",-1.27530381096811,-0.0421273189468768,0.0460183181746829,-0.0198341428023633,-0.0827972629385549,0.0372244884096063,0.129474429095859
"thevah",-0.763963849582283,-0.0787549093828566,0.046855008931335,-0.0198341428023633,-0.0827972629385549,-0.0338712646936628,0.262659411371466
"tratas",-0.501274594560065,-0.0700129695976771,0.0316039429774246,-0.0198341428023633,-0.0827972629385549,0.00915581591586967,0.493331394342574
"tri2pa",-0.581962399759824,-0.0756680960172808,0.00259213985457416,-0.0198341428023633,-0.0827972629385549,0.0140790106065712,0.390225654149992
"tri2tu",-0.898818344163356,-0.0412397851393379,0.0349219737047551,-0.0198341428023633,-0.0827972629385549,0.280949350260375,0.100371183087408
"tripcu",-0.539938116272511,-0.0520986223687406,0.0378598816503649,-0.0198341428023633,-0.0827972629385549,-0.251592959574159,0.488498355520294
"tropra",-1.17770571845609,-0.052337184157513,0.0151126218474127,-0.0198341428023633,-0.0827972629385549,-0.132466394869657,0.358536729129131
"turpoc",-0.0142711346984594,-0.0897954375118972,0.0403254352878315,-0.0198341428023633,-0.0827972629385549,0.102121509882717,0.495328429630723
"unonpi",-0.517087466486822,-0.0779432919553262,0.0227841037090964,-0.0198341428023633,-0.0827972629385549,-0.130361385713497,0.56217383059324
