"x","y","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
5,5,2.10970723764454,738.855608085405,232.609898220908,86.7996974412932,5.73547027941399,1698.15711065227
15,5,2.17721939276372,748.31948718658,225.727471274449,85.106341680942,5.73945361190431,1681.03219226035
25,5,2.23461261389024,758.456692405107,218.233386789876,83.4229443680527,5.74358366779152,1661.04972822665
35,5,2.28738653563892,765.637346312943,212.310757337609,82.4571540000438,5.7471003604072,1642.72323354705
45,5,2.33531523553526,770.59187913372,207.688358032478,82.1812090244453,5.74896585560926,1624.42801932104
55,5,2.36991932194396,777.153010035932,205.570284931926,82.0363934497253,5.7482790412088,1602.90346094598
65,5,2.41065278228831,785.366075894477,207.461352873209,81.7832578547785,5.74474665180492,1577.34488365732
75,5,2.45832759797543,792.236834898124,213.877217099854,81.5747640938926,5.73889895236135,1548.13764028269
85,5,2.49852907090543,798.113135395435,225.260608196342,81.4205251184645,5.73197727528186,1520.10567010122
95,5,2.51859962710105,804.54949797343,244.92636586719,81.1352068517139,5.72566175309529,1496.02600185467
105,5,2.51398819406891,811.156524794752,268.98282434749,80.7355581353845,5.72177911931591,1475.13149201655
115,5,2.49238110863773,815.944234553483,288.859053943226,80.476133040765,5.72202232615388,1464.38210632177
125,5,2.46221574787004,819.128476750443,304.693607892763,80.4908270382152,5.72772503673638,1462.89936418803
135,5,2.41627640822897,821.803432010633,320.928817962261,80.6124393213791,5.73973006543326,1467.85112675014
145,5,2.36678601353696,823.788645525232,337.450986850838,80.4756638773889,5.75827340403007,1477.69046774091
155,5,2.32641951181627,821.430300262505,352.709364529154,79.8666749580801,5.78280396723853,1496.72376792849
165,5,2.29474005174725,815.665548303128,367.740903472643,79.1342101719006,5.81188007697924,1523.5199011699
175,5,2.26337604261025,809.004670823041,384.598676795294,78.8933233707888,5.84338504263148,1553.72663778227
185,5,2.2398983184288,800.874253620925,398.263715060432,79.3362720814589,5.87506051421288,1586.26177200861
195,5,2.23720062264612,791.72291053532,404.646750382005,80.1143113113259,5.90508830715696,1619.43240774109
205,5,2.24206288162329,783.244854439306,404.855348208717,80.685397040613,5.93245952637981,1653.03540387372
215,5,2.2374456135665,776.272934331475,406.015737917699,80.7070374244695,5.95702715873282,1686.02559570614
225,5,2.22339273875936,770.059274063825,408.127332672369,80.2861714742729,5.97926176565373,1716.65025225221
235,5,2.20163403647024,763.543632238639,409.44694264535,79.9052741476592,5.99980322783794,1745.74668788075
245,5,2.17383243509831,756.549790550333,407.169951515339,80.068378195189,6.01896838800212,1775.47351640399
255,5,2.14854119352839,748.992723315376,407.322463185314,80.9489230337728,6.03641981012785,1805.07097260427
265,5,2.12534488773231,741.281861945935,408.334737480654,82.1971465112917,6.05116409164498,1832.49425013186
275,5,2.0952264604427,735.868336078905,394.577724635613,83.0664474923039,6.06192073001386,1851.1082090408
285,5,2.05035683516744,733.365842035662,371.919323956114,82.9043919121691,6.06771883221476,1858.2483806081
295,5,2.00426142100515,732.505700665635,358.325126552321,81.6827407968131,6.06842551298857,1858.77747307857
305,5,1.97056809247342,732.150509551427,353.917622120565,80.1371347727732,6.06492478259548,1853.85572463136
315,5,1.98920124548068,730.024418234936,346.592515408623,79.2950043468718,6.05887343546895,1847.07393789225
325,5,2.04051143392061,727.587219671556,337.032980272047,79.8096466088418,6.05218451721829,1840.25556620648
335,5,2.08905012323721,724.74923860881,332.531275154997,81.7406900592645,6.04646197171309,1830.62425591651
345,5,2.12727246393175,721.470574085589,331.482433366558,84.6608435980723,6.04257416176782,1819.45432006232
355,5,2.13948246878906,717.696160703721,327.623212576253,87.9536572784821,6.04051023502124,1812.05249761163
365,5,2.1410013384589,713.298147513121,325.630127555119,91.2570838646324,6.03959928508277,1809.05289722955
375,5,2.15710170308014,709.235736816305,330.812318073442,94.4012853771205,6.03902295906529,1809.27862690899
385,5,2.19374985880999,705.391637348927,338.80243001783,96.8941689223023,6.03835131202168,1811.82767215139
395,5,2.22777015094977,703.199341690803,334.807508424849,98.1039203502279,6.03778255227187,1811.11957733652
405,5,2.24999442274815,702.428900419351,325.420705962195,98.1549663814469,6.03797353276681,1808.07487474659
415,5,2.27601412336701,702.280842096296,324.226528646141,97.7481946879721,6.03961373933711,1806.68017963616
425,5,2.30412094057344,702.48130266826,328.89443762979,97.1525546695821,6.04301220302344,1809.25918610437
435,5,2.26444346899637,702.55825077772,330.507928323554,96.223052724021,6.04791325009461,1814.13044813961
445,5,2.18155121410364,701.834212574466,329.81083068692,95.1729441019453,6.05361234809295,1819.29787302747
455,5,2.11714051294292,700.385651617625,335.2419155717,94.6345752205023,6.05928244566764,1830.53301441881
465,5,2.06523531541145,698.006648912833,347.150916458698,95.1339620680018,6.06430259226698,1847.47432797378
475,5,2.07165448323274,695.166688200722,348.472547862965,96.9230818133951,6.06840252925671,1869.48294165339
485,5,2.12315556205096,690.881186600551,346.964560569589,100.045145787687,6.07161025678007,1893.69506726415
495,5,2.16354985012668,685.787430446535,351.213831829022,104.182466374571,6.07412679518711,1919.4499362252
505,5,2.19648317508726,681.392055964613,361.21772350584,108.314213600161,6.07622718247364,1946.64604205011
515,5,2.20984599128053,678.241270327207,361.721790180628,110.970571177648,6.07820372060738,1972.02845283021
525,5,2.20585223258712,676.548981428139,356.655796362619,111.439013830158,6.08034515428008,1994.69877346041
535,5,2.21425954401257,675.838211514132,362.597803828515,110.246805829875,6.08294835430982,2016.09194005244
545,5,2.23101664843612,675.663608222827,374.131168253534,108.391773901085,6.08632664933905,2038.12045661154
555,5,2.25224881040611,675.84544601889,381.457746641218,106.697273150783,6.09076788790172,2059.31030090075
565,5,2.2673563476892,677.453158205792,386.230975415882,105.606424806496,6.09645433469102,2079.39146331713
575,5,2.26951488049261,680.127835015276,396.500836692076,105.232690467292,6.10340198182676,2097.78128333312
585,5,2.26153320265717,683.761204017254,410.925895617335,105.555751504238,6.11144262136087,2114.02199616637
595,5,2.24830255931612,687.085576335059,417.740259583944,106.601521209844,6.12023435002226,2128.10145218065
605,5,2.23363284916525,688.768496171486,420.266033604488,108.443425580833,6.12931244146918,2141.80892444529
615,5,2.22207892286501,689.788447474587,427.818972020829,111.015792094873,6.13820961810156,2156.94450749496
625,5,2.20893727628299,690.664707145133,439.365143544864,113.85388338919,6.1466198976653,2172.11250804298
