"gx","gy","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
349,250,1.81,1411.3,53.2,28,5.12,532.1
349,290,3.94,915.1,31.3,69.6,5.28,460.2
349,330,3.73,1391.9,272.8,96.3,5.93,1858.7
349,370,4.36,1146.8,195.8,100,5.39,907.4
349,410,2.61,846.3,196,45.3,5.49,916.4
349,450,2.18,337.7,164.1,132.8,6.67,2330.4
349,490,2.13,775.9,290.4,152.4,6,1415.2
370,31,1.33,444.2,206.2,73.1,6.77,2878.4
369,70,2.72,744.4,254.4,131.3,5.98,1345.8
369,110,2.82,1047.6,449,53.3,5.23,495.4
369,150,3.5,994.9,171.6,50.8,5.52,831.1
369,190,3.21,1172.1,103.4,31.7,4.96,285.9
364,230,5.59,698.3,79,100.6,5.06,1449.1
369,270,8.87,1046,28.5,49.1,5.07,543.5
369,310,1.69,777.3,74.7,64.5,5.65,705.6
369,350,3.33,1002.8,134.2,47.5,5.62,812.3
369,390,2.78,1044.6,346.1,98.3,5.85,1421
369,430,9.42,941.6,361,143,5.66,1183
369,470,2.77,818.6,257.1,53.4,6,1895.1
389,10,2.68,582.1,469.8,164.3,6.3,2536.9
389,50,1.58,1031.6,366.5,45.2,5.42,1236.6
389,90,2.6,1161.6,357.5,72,5.38,766.5
389,130,4.2,963.6,484.5,76.2,6.29,2521.3
389,170,6.97,742.4,159.8,265.1,6.17,1832.1
389,210,3.38,1005.7,99.9,64.6,5.52,784.8
389,250,9.36,983.6,46.1,109.3,5.69,2478.1
389,290,3.24,585.5,75.6,62.4,5.72,1541.6
389,330,2.46,1155.4,321.8,146.8,4.93,324.3
389,370,3.54,1088.2,156.5,62.2,6.66,351
389,410,3.77,582.1,345,376,6.77,3056.2
389,450,2.97,747.9,183.1,48.9,5.13,338.3
389,490,3.01,658,137.6,239.9,6.35,1664.9
409,30,1.69,567.1,157.9,81.4,5.87,1343.7
409,70,2.08,788,158.8,57.2,5.55,1001.2
409,110,3.44,702.4,228.3,100.4,6.33,2197.2
409,150,5.01,945.2,135.6,73.2,5.88,1342.6
409,190,2.62,996.5,141.6,97.9,5.87,846.9
409,230,11.82,1087.1,23.5,69.3,5.2,662
409,270,4.66,876.6,11.9,32.9,5.16,426.2
409,310,3.88,458.3,210.5,183.4,6.03,1678.1
409,350,2.52,732.9,206.3,151,5.55,840.1
409,390,3.93,1103.9,143.6,74.7,5.54,1358.4
409,430,2.45,878.4,165.2,79.8,5.74,1282.2
409,470,2.59,827.2,182.8,191.8,5.7,1000.9
429,10,5.87,674,362.4,128.4,5.98,2404.2
429,50,2.23,928.3,368.6,79.3,5.75,1515.2
429,90,2.49,1042.1,353.9,77.3,5.59,988
429,130,3.23,1260.3,240,126.8,5.5,1213.1
429,170,4.04,1118.5,66.4,134.4,5.3,566.7
429,210,2.89,1052.9,19.8,87.4,5.46,906.1
429,250,5.22,982.5,34.7,58.5,5.35,1195.3
429,290,2.49,743.2,65.5,51,5.58,878
429,330,2.22,1093.7,293.1,72.3,5.38,541.4
429,370,6.07,602.3,104.4,248.2,6.41,2765.6
429,410,2.1,748.3,287,42.2,5.63,1036.2
429,450,1.93,680.8,113.7,107.9,5.69,919.8
429,490,2.73,920.1,227.8,131.6,5.73,841.3
449,30,1.9,346,190.4,72,6.67,2693
449,70,2.48,892.8,200.7,37.5,5.36,334.7
449,110,2.03,828.5,269.4,53.8,5.77,1114.4
449,150,3.04,901.4,108,64.4,5.61,750.5
449,190,3.92,814.2,145.9,97.3,5.96,2175.8
449,230,10.64,1024.3,6.1,70.6,4.95,342.4
449,270,4.43,863.8,8.5,63,5.22,571.6
449,310,1.59,564,110.5,63.3,5.72,1159.9
449,350,2.55,681.4,115.3,193.5,6.15,1445.6
449,390,2.41,1111.5,249.3,53.9,5.63,1381.2
449,430,2.95,832.1,177.7,67.9,5.32,1482.6
449,470,2.03,639.2,106.3,85,5.9,1417.2
469,10,1.51,772.9,463.5,90.1,6.13,1816.9
469,50,1.95,1005.8,445.8,88.2,5.77,1523.9
469,90,2.29,834.7,315.7,95,5.61,1170.9
469,130,2.58,1298.4,349.9,92.3,5.34,754
469,170,2.46,882.8,181.9,41.9,5.8,1332.8
469,210,2.49,903.3,158,34.2,5.5,825.1
469,250,17.52,366,81.7,180,6.74,6514
469,290,2.72,779,139.6,118.2,5.12,472
469,330,2.54,712.7,273.4,134.4,6.17,1850.9
469,370,2.41,866.8,286.6,60.1,5.5,858.5
469,410,2.29,699.6,97.9,46.5,5.11,257.1
469,450,3.01,493.3,118.1,253.2,6.46,1647.1
469,490,3.59,729.5,37.5,54.8,4.95,499.6
489,30,1.72,565.7,233.3,78.3,6.1,1360.6
489,70,2.71,532.4,272.5,72.6,6.48,1952.7
489,110,2.94,643.4,188.3,57.1,5.47,1627.4
489,150,1.7,536.6,114.9,100.1,6.26,2001.5
489,190,3.58,881.7,108.1,182,5.35,772.4
489,230,2.32,699.2,83.3,34.8,5.43,914.7
489,270,2.16,788.7,86,126.6,5.86,1026
489,310,2.08,551.9,119.7,90.9,5.17,974.1
489,350,2.3,850.6,155.6,61.8,5.16,601.2
489,390,2.16,691.8,518.2,72.2,6.95,4223.7
489,430,2.08,999.4,260.8,51,5.36,652.9
489,470,1.7,722.7,100.5,44.4,5.74,1142
510,11,2.42,733.6,493,188.4,5.96,2017.6
509,50,2.2,674.4,289.9,53.4,5.93,1881.2
509,90,2.75,826.5,402.6,73.9,5.84,1822.1
509,130,2.51,1217.7,258,44,5.26,782.5
