"gx","gy","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
929,310,1.15,486.7,190.9,87.1,5.41,1691.4
929,350,1.65,314.9,149.8,75,6.3,3180.6
929,390,1.97,684.5,465.4,106.3,6.23,2890.6
930,431,2.76,562.9,283.6,148.8,6.12,2838.9
929,470,1.08,331.1,95.7,106.8,6.26,2202.8
949,10,3.07,1204.4,197.4,82.9,5.27,2327.3
949,50,3.46,850.4,144.1,154.8,5.51,4251.5
950,91,1.98,718.4,278.5,98.3,5.75,1790.4
949,130,2.87,606,485.3,73.1,6.59,3863.5
949,170,2.49,631.7,190.1,61.6,5.99,1995
950,211,1.43,621.8,200.4,138.8,5.95,1797.1
949,250,1.98,634.4,309.3,232.5,5.73,1869.9
949,290,2.07,357.6,194.5,179.2,6.46,2332.2
949,330,2.53,628,335.7,133.3,5.92,2098.3
949,370,1.77,454,129.7,157.9,5.93,2218.4
949,410,1.17,758,338.5,46.5,5.7,1624.8
949,450,1.43,661.6,197.6,92,5.87,1616.1
949,490,2.12,478.6,188.9,90,5.78,1918
969,30,2.3,686.4,172,70,5.84,1747.3
969,70,1.66,723.4,248,61.7,6.05,2122
969,110,2.25,828.9,167.6,106.4,5.72,2909.2
969,150,1.56,703.4,128.3,127.6,5.86,1356.5
969,190,4.54,489.6,175.9,349.1,7.52,4683.1
965,231,2.14,338.1,285.9,211,7,3355.3
969,270,1.83,507.3,125.4,96.7,6.09,2095.7
970,311,2.06,422,240.5,160.4,6.52,3381.1
969,350,2.07,474,173,145.7,5.98,2323.5
969,390,2.66,550.5,300.1,246.1,6.39,3644
969,430,1.54,822.4,188.7,72,5.4,791.6
969,470,2.06,462.1,98,128.6,5.6,801
989,10,3.48,906.3,163.1,96.4,6.47,2792
989,50,1.39,760.9,496,116.7,6.59,3465.4
989,90,1.61,1168.2,197.3,110.4,5.42,1948.9
989,130,3.19,886.4,424.5,179.6,6.03,3000.8
989,170,2.24,494.5,173.7,161.1,6.55,2902.2
989,210,2.33,763.6,191.7,79.1,5.41,1297
989,250,4.45,806.2,562.6,252.1,6.16,4280.1
989,290,2.73,483.8,201.2,106.2,5.89,2464.9
989,330,5.42,521.5,472.4,310.3,6.82,5253
989,370,2.15,518.4,189.5,120,6.09,2536.3
989,410,3.01,238,87.6,152.9,6.45,3700.5
989,450,1.63,499.6,206,45.1,5.84,2259.2
989,490,1.25,693.4,131.8,127.6,5.42,1054
