"Latin","occur","Inter","Moist","Al","Ca","Fe","K","P","Zn","N"
"Ternstroemia tepezapote (Pentaphylacaceae)",6,-2.24210211773592,0.388050101269143,0.164567875102643,-1.00224355293468,0.0171763029689994,0.173284636685094,-0.281583228974606,0.0811426718983818,0.103087568341966
"Tetragastris panamensis (Burseraceae)",33,1.08541982333573,1.79501815727728,-0.538918605266395,-0.577148446599474,-0.13159295144888,0.195139543967457,-0.500008844597743,0.127545583704941,0.0269086780328193
"Tetrathylacium johansenii (Salicaceae)",20,-0.927296704989857,-0.893214433028298,-0.416154480404685,-0.255398574749582,-0.343743510855935,0.25825589783157,1.34822885464373,0.146478079516772,0.0857921325586154
"Tetrorchidium gorgonae (Euphorbiaceae)",5,-3.48518450773915,1.88943214770527,0.347103682261372,-0.52981394352877,0.207643779964799,-0.0562727412991569,-1.15783369938861,0.095541952140734,0.0337757199883086
"Theobroma bernoullii (Malvaceae)",4,-3.02056748226708,2.17471633244612,0.138320403857877,-0.183950064817011,-0.0507133024796489,-0.0698318157338987,-0.316066003281835,0.182726459598891,0.0383043701760072
"Theobroma simiarum (Malvaceae)",4,-3.69547909586865,2.11951248017934,-0.0420360051753337,-0.405527449595245,-0.161059612381882,-0.0403166072226395,-0.656270070706077,0.129102239108642,0.0453190639897834
"Thevetia ahouai (Apocynaceae)",15,-0.802934711073804,-0.191260573721655,0.177123636286278,-0.347796780779394,-0.300469237549993,0.455066035268331,0.328687316832394,0.168920329892628,0.0812725475450117
"Tocoyena pittieri (Rubiaceae)",12,-0.816382375375107,1.29827400256675,0.19588360002722,-0.0802208962672482,-0.352892688371138,0.0133956096988745,-0.130537907306489,0.0678908301638361,0.0342139432385727
"Tovomita longifolia (Clusiaceae)",20,-1.22683084649868,2.13921014820448,-0.302214096925428,-0.718074451641198,-0.175300698417426,0.0113551532761807,-1.74408985637158,0.15627765614944,0.0125395980121564
"Tovomita stylosa (Clusiaceae)",28,0.510586351109795,1.14781238932504,-0.285556036629756,-0.721727069048451,-0.21344317167299,-0.423876410897773,-1.12446335155105,0.0213226033196106,-0.0479274886428043
"Tovomita weddelliana (Clusiaceae)",4,-4.08653587553006,1.58504735566911,-0.0294840653432437,-0.618626319086442,-0.00110117332469631,-0.0190906165499768,-1.11837651110056,0.0787654149144247,0.0334164057184565
"Trattinnickia aspera (Burseraceae)",22,0.48071626030007,1.18345603765837,-0.420473496818099,-0.663940367004988,-0.208044261046946,-0.00608084736054692,-0.969654731674454,0.0490935896063646,0.0588032898231986
"Trema micrantha (Cannabaceae)",9,-1.4821473905743,-0.473938620214384,-0.189482031267873,-0.154971982680133,0.10774652803574,0.231261913747598,0.301657525218907,0.0629487801186411,0.111198980607593
"Trichilia hirta (Meliaceae)",10,-2.67525028142973,-1.35108717280499,-0.307916699968413,-0.00198054893271569,0.122324914951507,0.44143366349715,0.604688857750946,0.213493711240767,0.0134621008411308
"Trichilia pallida (Meliaceae)",11,-1.700807462429,-0.771824213186118,0.142690158604491,-0.518160732136518,-0.0568564510644059,0.728903427624468,0.441559389784854,0.249157745568237,0.031930455718657
"Trichilia pleeana (Meliaceae)",16,-2.19179234918515,-0.903018212883961,0.257641396115522,0.360539469677608,-0.180699344776387,0.148301959124353,1.9205233287278,0.226587349253217,0.0417927144898693
"Trichilia quadrijuga (Meliaceae)",3,-3.9424143835974,2.05986006007484,-0.00351715804086248,0.0361998409926334,-0.155822381086577,0.197873888973879,-1.03634859930668,0.1717962840919,0.0402098843352988
"Trichilia martiana (Meliaceae)",3,-3.47610831388835,-0.630115120959705,0.0426632292882091,0.496687488817946,-0.257751855651348,-0.13635394746758,1.04424748368449,0.0996757009492692,0.0668124005948697
"Trichilia tuberculata (Meliaceae)",47,2.28173891463253,0.516060018063787,0.00726949147918602,-0.446753186904882,-0.356827491324039,0.360068378825651,0.792854563963842,-0.0400566791079441,0.0338420688433847
"Trichospermum galeottii (Malvaceae)",19,-0.104249575434756,-0.916774057866497,0.145704807405613,-0.202286223643662,0.0139388252525727,0.057496728942403,-1.08481731808772,0.186153022721076,0.0158908829112738
"Triplaris cumingiana (Polygonaceae)",30,-0.634074980305027,-1.51157441684968,-0.0196344794267141,0.412435157019965,-0.23864920613299,0.517708608581195,1.77637368896545,0.203862234390181,0.06402491525828
"Triumfetta bogotensis (Malvaceae)",3,-3.35489110908332,-0.915286684096497,0.220253379908732,0.209094823708517,-0.0506264049884807,0.237368932632789,0.816150450166912,0.16737112461621,0.0573339159978479
"Trophis racemosa (Moraceae)",28,-0.0724057969008922,0.149060872737859,-0.138841958897226,0.0807103426251096,-0.24025162990353,0.583989144819909,1.12968338114611,0.144851371965297,0.0740883680766178
"Turnera panamensis (Turneraceae)",4,-2.78362180628204,-1.3770757089693,0.124733981351268,0.452414785201139,-0.12728950679757,-0.197449467730736,-0.667423186866879,0.189414615956577,0.0644400436783428
"Turpinia occidentalis (Tapisciaceae)",16,-0.431049010809681,-0.203270865919606,0.02818055899625,-0.219173509251088,-0.253257528246952,0.405675340313946,-0.503554742310992,0.218366604793264,0.0984328975026794
"Unonopsis panamensis (Annonaceae)",8,-2.23996374936205,2.1732542799306,0.47291596406498,-0.362401493575356,-0.056105181567864,-0.36061014451969,-0.58221595675576,0.142544632598433,-0.00748415307931988
"Unonopsis pittieri (Annonaceae)",9,-0.970311722247343,0.642804109155617,-0.275038067047811,-0.0815291871426786,-0.180961119836331,0.216755797474656,-0.197710785429038,0.215465498163363,0.0641622800995792
"Urera baccifera (Urticaceae)",3,-3.22608865194861,-0.0478496055134565,0.130214778342561,-0.0324319892278258,-0.18357381519032,0.266981542156018,1.03184356257802,0.178691574508756,0.0779803372923371
"Urera caracasana (Urticaceae)",3,-3.57219589573933,-0.706985075784498,-0.0508190756103447,0.0438409029989911,-0.0714288933966054,0.193442185037995,1.11798412551034,0.158613302105281,0.0620850694965073
"Vantanea depleta (Humiriaceae)",13,-1.78794314532356,-0.0155649574091846,-0.0895844715221923,-0.79477142515894,-0.226352072434174,0.00749803481790613,-1.68894471248053,0.0218909039119893,0.0726887212156249
"Vatairea erythrocarpa (Fabaceae-papilionoideae)",21,-0.196310332212709,-0.834318995410145,-0.695413428045476,-0.612192701126514,-0.452011027669814,0.0924405415180566,-0.962114817335145,0.0491605892678138,0.0300244259289422
"Vernonanthura patens (Asteraceae)",3,-2.60868122803918,0.420438733970552,0.0837345067540225,-0.464827110275812,0.0850384171759165,0.0926532135905391,-0.259965254486126,0.16335960879833,0.0717591300675684
"Virola elongata (Myristicaceae)",15,-1.66359012805401,2.06001307313024,0.344837953360186,-0.639444075541979,-0.276437781302365,-0.205852651334432,-1.0975713517119,0.180485661924541,0.0115560438684875
"Virola koschnyi (Myristicaceae)",6,-3.22400659868134,2.19335283884715,-0.0597267948109847,-0.157881687792878,-0.131920443612976,0.0531873328754797,-1.58337288376114,0.216428785664689,0.0423433199607804
"Virola macrocarpa (Myristicaceae)",6,-3.87195340065666,2.58844831283885,0.0583967932050546,-0.0244993965018913,-0.0810422594991582,0.237214244534375,-1.21041903718483,0.133526068911859,0.0439962185782299
"Virola sebifera (Myristicaceae)",56,2.55281483364881,0.493523118324357,-0.0529131996247693,-0.672755825917967,-0.487800252114735,0.57186354113305,-0.757601066114269,0.107329222751092,-0.00494419831099464
"Virola multiflora (Myristicaceae)",26,0.281409142960652,1.17203311950991,-0.526229451380748,-0.507052146098489,0.0763752680925893,-0.119461931529233,-1.5827623607187,0.130767108113673,0.0514560510162841
"Virola surinamensis (Myristicaceae)",25,0.995095190872172,2.05756448109288,0.196551207968299,-0.372699616187177,-0.0350296091565355,0.141710954840189,0.0464383051556247,0.0990544799216968,0.0138205832438726
"Vismia baccifera (Clusiaceae)",10,-1.08886569965937,0.646251552971285,-0.0185820452179576,-0.69372236897395,0.014854098812535,-0.109092094696808,-0.334055750692381,0.162608014454396,0.0649403146603321
"Vismia billbergiana (Clusiaceae)",7,-1.9572929854847,-0.601075008240685,0.160963389058098,-0.204112504583598,-0.105514141044365,0.329725931525607,-0.316739329029483,0.218181628135698,0.0715015247605507
"Vismia macrophylla (Clusiaceae)",11,-1.75649090979252,0.804021244192789,0.18784416326576,-0.57299367933234,0.250469695423844,0.0295304415936266,-1.03539730552922,0.106749642245659,0.0692996210899921
"Vitex cooperi (Lamiaceae)",8,-2.29475954751651,-1.1286317000485,0.17704054590972,0.415897584686133,-0.28159463142076,0.0300509387089826,1.15071912269504,0.136822141297234,0.0379485278145085
"Vochysia ferruginea (Vochysiaceae)",34,0.718826088996583,-0.360272580839182,0.163982683108879,-0.907128664959524,-0.151622557092588,-0.0240383195805798,-0.561752421512758,0.0629987718863623,0.0590452798508695
"Warszewiczia coccinea (Rubiaceae)",7,-2.13176661201305,0.277964065939077,0.147136957405494,-0.591014569344203,-0.00555333860773286,-0.204059576613573,-1.02927648363446,0.188707877614209,0.0602178220702088
"Welfia regia (Arecaceae)",9,-2.0902343960139,1.3733645394055,-0.0841953755787251,-0.24788178070866,-0.00977303156579114,-0.0678811000561548,-1.41613289181391,0.148160144524253,0.0706027340674212
"Wettinia quinaria (Arecaceae)",6,-3.93494692719491,1.99035375056849,-0.0512374331012439,-0.551347716292928,0.115944466683404,0.0531951487918626,-1.37888571224987,0.108245533235136,0.0420943791974293
"Xylopia aromatica (Annonaceae)",7,-2.44808977602734,-1.96758450404872,0.327764481528271,-0.362907126953191,0.170989937330394,0.393897290958403,-0.751058153620447,0.153647615330013,0.0609707278782585
"Xylopia bocatorena (Annonaceae)",4,-3.53391653441912,1.87787498946075,-0.0382169944531943,-0.311393887273523,-0.0759699349442029,0.0572021001171534,-1.35557387488714,0.14843217458041,0.0282010661675237
"Xylopia frutescens (Annonaceae)",24,-0.71269438043571,-2.18868055378719,0.36335794077454,-1.00325880615362,-0.00890922398596914,0.0939368288781529,-0.331910791955525,0.196145467893178,0.0108014088624529
"Xylopia macrantha (Annonaceae)",25,0.640275404019647,1.90548988843653,-0.125808204868873,-0.28530775696384,-0.0934775563251309,-0.498689617845325,-0.18117863356403,0.156131375965904,0.0239753482515913
"Xylopia sericea (Annonaceae)",5,-3.07351086841775,1.87096558620578,-0.169661661507519,-0.530015363869864,-0.400682230857177,-0.0919235532343188,-0.845565936369719,0.147734166659073,0.0593427462234634
"Xylosma chlorantha (Salicaceae)",4,-2.68134153152242,0.0997253795618335,0.0199593126978763,-0.316450396892153,-0.202735392552576,-0.129474220052969,-1.21814530705167,0.253391345077523,0.0587918055766648
"Zanthoxylum ekmanii (Rutaceae)",9,-1.10967849006242,1.01034026611499,-0.402493014120535,-0.367386035089788,-0.273985255110442,-0.0971710506395083,-0.334366741142843,0.127792429831584,0.0626040719215425
"Zanthoxylum panamense (Rutaceae)",24,-0.4360819763846,-0.125603872025202,-0.0970975670746521,-0.0446318656070765,0.0207584807992386,0.381925427159831,0.403177684071142,0.310453164382442,0.0870480658672203
"Zanthoxylum acuminatum (Rutaceae)",25,0.200554904037635,0.530152867827462,-0.200434310171707,-0.170746139098244,-0.150364329093439,0.640252305946866,-0.198188676008607,0.179021532551571,0.0741705321753323
"Zanthoxylum setulosum (Rutaceae)",5,-2.50928177900334,-0.810913947494583,0.380273670684583,0.0880420747014476,-0.0939676760948269,0.300272428685386,0.706761754009183,0.164156468404572,0.0521669634801695
"Zuelania guidonia (Salicaceae)",33,0.146809916050179,-0.200060945359657,0.0680165636390943,-0.243577819893148,-0.104818473497973,0.719651357628941,0.518230011502092,0.187981265003468,0.0169292922271371
